"";"totalRNA";"translRNA";"TE";"symbol"
"109";"48.525";"28.43";"0.585883565172591";"Myo18a"
"110";"0.215";"0";"0";"Sez6"
"111";"0.135";"0";"0";"Haao"
"112";"0.095";"0";"0";"Cd52"
"113";"0.06";"0";"0";"Abhd15"
"114";"0.105";"0";"0";"Hoxb6"
"115";"0";"0";"NaN";"Loxl3"
"116";"28.5";"149.045";"5.22964912280702";"Tcl1b5"
"117";"0.045";"0";"0";"Btn1a1"
"118";"0.91";"0";"0";"Kat2b"
"119";"5.29";"3.38";"0.638941398865784";"Rab5b"
"120";"0";"0";"NaN";"Cryba1"
"121";"30.72";"10.915";"0.355305989583333";"Dnmt3l"
"122";"0.98";"0";"0";"Aire"
"123";"37.59";"12.585";"0.334796488427773";"Icosl"
"124";"1.34";"0";"0";"Spg7"
"125";"0.99";"0";"0";"Sult5a1"
"126";"30.325";"53.74";"1.77213520197857";"Rpl13"
"127";"6.68";"196.33";"29.3907185628743";"Chmp1a"
"128";"59.01";"161.58";"2.7381799694967";"Rpa1"
"129";"0.125";"0";"0";"Serpinf1"
"130";"1.855";"3.51";"1.8921832884097";"Tubgcp3"
"131";"0.56";"0";"0";"Oprm1"
"132";"7.81";"13.675";"1.75096030729834";"Polr3d"
"133";"23.695";"17.655";"0.745093901667018";"Tcf7"
"134";"321.975";"1034.375";"3.21259414550819";"Ddx3x"
"135";"0.08";"0";"0";"Il12rb1"
"136";"0.265";"0";"0";"Slc5a5"
"137";"0.09";"0";"0";"Kcnn3"
"138";"25.96";"29.295";"1.12846687211094";"Usp32"
"139";"0.185";"0";"0";"Car4"
"140";"20.915";"4.715";"0.225436289744203";"Txnrd3"
"141";"0.035";"0";"0";"Fasl"
"142";"11.8";"74.84";"6.34237288135593";"Zfp512b"
"143";"8.995";"1.87";"0.207893274041134";"Dnajc5"
"144";"55.325";"223.29";"4.03596927248079";"Tpd52l2"
"145";"12.89";"14.565";"1.1299456943367";"Fmr1"
"146";"0";"0";"NaN";"Bcl11a"
"147";"0";"0";"NaN";"Il4"
"148";"0.945";"0";"0";"Pxmp4"
"149";"0.29";"0";"0";"Dlg3"
"150";"7.375";"12.955";"1.75661016949153";"Gnb1l"
"151";"0.64";"0";"0";"Dbh"
"152";"0.075";"0";"0";"Mmp11"
"153";"30.34";"71.02";"2.340804218853";"Smarcb1"
"154";"0";"0";"NaN";"Vpreb3"
"155";"44.61";"30.76";"0.689531495180453";"Hip1r"
"156";"0.575";"1.15";"2";"Nsun5"
"157";"0.12";"0";"0";"Top1mt"
"158";"0.315";"0";"0";"Hoxa10"
"159";"0.145";"5.99";"41.3103448275862";"Hoxa4"
"160";"1.97";"3.965";"2.01269035532995";NA
"161";"0.025";"0";"0";"Mmp14"
"162";"0.295";"0";"0";"Slc7a7"
"163";"8.565";"0";"0";"Oxa1l"
"164";"12.46";"29.93";"2.40208667736758";"Heatr6"
"165";"0.51";"0";"0";"Ccl3"
"166";"0";"0";"NaN";"Wfdc18"
"167";"0.11";"0";"0";"Icam4"
"168";"14.82";"19.24";"1.29824561403509";"Ilf2"
"169";"16.13";"34.93";"2.16553006819591";"Chtop"
"170";"4.655";"14.215";"3.05370569280344";"Snapin"
"171";"0.1";"0";"0";"S100a4"
"172";"0.01";"0";"0";"S100a3"
"173";"0";"0";"NaN";"S100a5"
"174";"0.82";"0";"0";"S100a6"
"175";"0";"0";"NaN";"Scn4a"
"176";"0";"0";"NaN";"Icam2"
"177";"1.8";"0";"0";"Mapk7"
"178";"225.775";"112.295";"0.497375705901893";"Epn2"
"179";"17.84";"237.52";"13.3139013452915";"B9d1"
"180";"24.175";"11.265";"0.465977249224405";"Sec24b"
"181";"0";"0";"NaN";"N4bp3"
"182";"1.11";"0";"0";"Rmnd5b"
"183";"13.06";"9.265";"0.709418070444104";"Nhp2"
"184";"18.535";"28.205";"1.52171567305098";"Vps9d1"
"185";"3.985";"26.76";"6.71518193224592";"Zfp276"
"186";"0";"0";"NaN";"C1ql4"
"187";"1.565";"26.03";"16.6325878594249";"Mfsd10"
"188";"73.23";"104.53";"1.42742045609723";"Luzp1"
"189";"0.015";"0";"0";"Slc13a2"
