"","x"
"715","Slc1a7"
"716","Vps72"
"717","Gabpa"
"718","Dynll1"
"719","Pdcl"
"720","Tmem184b"
"721","Krtap13-23"
"722","Nf2"
"723","Cabp7"
"724","Zmat5"
"725","Ewsr1"
"726","Ap1b1"
"727","Derl3"
"728","Bcl2l13"
"729","2610028H24Rik"
"730","Dqx1"
"731","Ccl8"
"732","Lnpk"
"733","Prr29"
"734","Mymk"
"735","Fam163b"
"736","Trpm5"
"737","Pttg1ip"
"738","Trpm2"
"739","Ube2g2"
"740","Lpo"
"741","Elk1"
"742","Nav1"
"743","Tnpo1"
"744","Otog"
"745","Rnmt"
"746","Kcnq1"
"747","Srp14"
"748","6330409D20Rik"
"749","Cdk9"
"750","Tor2a"
"751","Fpgs"
"752","Mrtfb"
"753","Cbx5"
"754","Odam"
"755","Sardh"
"756","Tex15"
"757","Dmap1"
"758","Mcu"
"759","Tex11"
"760","Bcr"
"761","Kcnd1"
"762","Tfcp2"
"763","Ubp1"
"764","Nuak2"
"765","Snap47"
"766","Wnt3a"
"767","Kdsr"
"768","Vps4b"
"769","Rps25"
"770","Tafazzin"
"771","Aldh3a2"
"772","Tmem115"
"773","Nprl2"
"774","Rassf1"
"775","Slc3a2"
"776","Nxf1"
"777","Stx5a"
"778","Cimap3"
"779","Raver1"
"780","Bltp2"
"781","AI597479"
"782","Optc"
"783","Tex14"
"784","Ifi35"
"785","Rdm1"
"786","Nedd8"
"787","Gosr1"
"788","Spaca7"
"789","Myt1"
"790","Faf1"
"791","Gm266"
"792","Mettl16"
"793","Dazl"
"794","Apol7a"
"795","Pigyl"
"796","Rbm25"
"797","Psen2"
"798","Lmbr1"
"799","Cars1"
"800","Phlda2"
"801","Asz1"
"802","Gabra1"
"803","Kdelr3"
"804","Cfap97d1"
"805","Apip"
"806","Pdhx"
"807","Vac14"
"808","Akt1s1"
"809","Panx3"
"810","Adss1"
"811","Vipr2"
"812","Odc1"
"813","Pabpc4"
"814","Zfp296"
"815","Sugp1"
"816","Zfp790"
"817","Slc25a41"
"818","Fsd1"
"819","Pinlyp"
"820","Pgam1"
"821","Evi5"
"822","Snapc2"
"823","Git1"
"824","Gltp"
"825","Bnip2"
"826","Ccnt1"
"827","4930579F01Rik"
"828","Brms1l"
"829","Med15"
"830","Dhdds"
"831","Tex22"
"832","Tjap1"
"833","Ehf"
"834","Nanog"
"835","Rpl15"
"836","Steap4"
"837","Kif11"
"838","Rpa3"
"839","Phox2b"
"840","Ttll5"
"841","Zfp715"
"842","Retn"
"843","Rps5"
"844","Amotl1"
"845","2200002J24Rik"
"846","Tmem190"
"847","Atp6v0d1"
"848","Ptprs"
"849","Slc41a1"
"850","Siglecl2"
"851","Iglon5"
"852","Igf2bp1"
"853","Nelfb"
"854","Bcas1"
"855","Tango2"
"856","Aldh1a2"
"857","Atraid"
"858","Cad"
"859","Lypd8"
"860","Atad1"
"861","Pten"
